year,month,acres,incidents,month_name
2013,2,407.0,1,Feb
2013,4,379.0,3,Apr
2013,5,54916.0,24,May
2013,6,5185.0,24,Jun
2013,7,77624.0,29,Jul
2013,8,338987.0,31,Aug
2013,9,12550.0,13,Sep
2013,10,3116.0,5,Oct
2013,11,4281.0,10,Nov
2013,12,40.0,1,Dec
2014,1,3256.0,4,Jan
2014,3,582.0,3,Mar
2014,4,2331.0,3,Apr
2014,5,12233.0,10,May
2014,6,5261.0,10,Jun
2014,7,165574.0,22,Jul
2014,8,5822.0,11,Aug
2014,9,101564.0,11,Sep
2014,10,359.0,2,Oct
2015,2,200.0,1,Feb
2015,4,1186.0,2,Apr
2015,5,692.0,1,May
2015,6,35767.0,19,Jun
2015,7,257091.0,40,Jul
2015,8,42687.0,19,Aug
2015,9,74326.0,12,Sep
2015,10,815.0,3,Oct
2015,11,50.0,1,Nov
2015,12,1388.0,1,Dec
2016,4,30.0,2,Apr
2016,5,5062.0,11,May
2016,6,81250.0,35,Jun
2016,7,145159.0,38,Jul
2016,8,175437.0,33,Aug
2016,9,33613.0,29,Sep
2016,10,6698.0,5,Oct
2016,11,4852.0,2,Nov
2017,2,0.0,1,Feb
2017,4,7370.0,10,Apr
2017,5,18108.0,39,May
2017,6,21457.0,76,Jun
2017,7,523470.0,111,Jul
2017,8,272753.0,71,Aug
2017,9,57776.0,48,Sep
2017,10,239009.0,54,Oct
2017,11,599.0,5,Nov
2017,12,308877.0,14,Dec
2018,2,2120.0,2,Feb
2018,3,269.0,2,Mar
2018,4,1242.0,8,Apr
2018,5,4883.0,25,May
2018,6,149145.0,82,Jun
2018,7,900796.0,84,Jul
2018,8,166913.0,43,Aug
2018,9,81972.0,28,Sep
2018,10,5264.0,13,Oct
2018,11,256909.0,15,Nov
2019,1,30.0,1,Jan
2019,4,286.0,3,Apr
2019,5,4228.0,13,May
2019,6,14937.0,41,Jun
2019,7,21654.0,47,Jul
2019,8,17493.0,45,Aug
2019,9,101528.0,52,Sep
2019,10,120592.0,55,Oct
2019,11,6062.0,6,Nov
2020,2,460.0,5,Feb
2020,3,354.0,4,Mar
2020,4,403.0,4,Apr
2020,5,8940.0,10,May
2020,6,27887.0,72,Jun
2020,7,203350.0,57,Jul
2020,8,2106955.0,59,Aug
2020,9,555885.0,21,Sep
2020,10,27345.0,16,Oct
2020,11,330.0,3,Nov
2020,12,10125.0,8,Dec
2021,1,1479.0,10,Jan
2021,3,982.0,3,Mar
2021,4,1386.0,10,Apr
2021,5,10886.0,24,May
2021,6,66601.0,51,Jun
2021,7,1702156.0,36,Jul
2021,8,480444.0,28,Aug
2021,9,10153.0,14,Sep
2021,10,18210.0,9,Oct
2021,11,24.0,1,Nov
2022,1,687.0,1,Jan
2022,2,4290.0,2,Feb
2022,3,364.0,8,Mar
2022,4,25.0,4,Apr
2022,5,9093.0,17,May
2022,6,9418.0,33,Jun
2022,7,91471.0,34,Jul
2022,8,31789.0,25,Aug
2022,9,131059.0,24,Sep
2022,10,50.0,2,Oct
2023,4,0.0,1,Apr
2023,5,611.0,6,May
2023,6,3042.0,24,Jun
2023,7,15194.0,38,Jul
2023,8,288518.0,36,Aug
2023,9,9282.0,6,Sep
2023,10,2963.0,10,Oct
2023,11,349.0,7,Nov
2023,12,3024.0,5,Dec
2024,2,250.0,2,Feb
2024,4,1039.0,7,Apr
2024,5,12294.0,66,May
2024,6,107684.0,136,Jun
2024,7,679383.0,182,Jul
2024,8,33927.0,89,Aug
2024,9,149808.0,52,Sep
2024,10,15546.0,45,Oct
2024,11,21145.0,26,Nov
2024,12,4644.0,6,Dec
2025,1,57477.0,28,Jan
2025,2,64.0,3,Feb
2025,3,1715.0,5,Mar
2025,4,643.0,15,Apr
2025,5,13323.0,83,May
2025,6,25441.0,115,Jun
2025,7,132046.0,106,Jul
2025,8,233746.0,107,Aug
2025,9,59679.0,69,Sep
2025,10,1072.0,18,Oct
2025,11,2486.0,5,Nov
2025,12,15.0,1,Dec
2026,1,21.0,2,Jan
2026,2,11.0,1,Feb
2026,3,1624.0,10,Mar
2026,4,9890.0,35,Apr
2026,5,39898.0,70,May
2026,6,28972.0,121,Jun
2026,7,1168.0,7,Jul
