rank,fire,year,acres,note
1,August Complex,2020,1032648,
2,Dixie,2021,963309,
3,Mendocino Complex,2018,459123,
4,Park,2024,428808,
5,SCU Lightning Complex,2020,396624,
6,Creek,2020,379895,
7,LNU Lightning Complex,2020,363220,
8,North Complex,2020,318935,
9,Santiago Canyon,1889,300000,Estimate; predates reliable records (1932)
10,Thomas,2017,281893,
11,Cedar,2003,273246,
12,Rush,2012,271911,California portion only
13,Rim,2013,257314,
14,Zaca,2007,240207,
15,Carr,2018,229651,
16,Monument,2021,223124,
17,Caldor,2021,221835,
18,Matilija,1932,220000,
19,River Complex,2021,199359,
20,Witch,2007,197990,
