fire,year,acres,structures,deaths,cause,lists
August Complex,2020,1032648,935,1,,largest
Dixie,2021,963309,1311,1,power line,destructive;largest
Mendocino Complex,2018,459123,280,1,,largest
Park,2024,428808,709,0,,largest
SCU Lightning Complex,2020,396624,222,0,,largest
Creek,2020,379895,856,0,,largest
LNU Lightning Complex,2020,363220,1491,6,lightning/arson,deadliest;destructive;largest
North Complex,2020,318935,2352,15,lightning,deadliest;destructive;largest
Santiago Canyon,1889,300000,0,0,,largest
Thomas,2017,281893,1063,23,power line,destructive;largest
Cedar,2003,273246,2820,15,signal fire,deadliest;destructive;largest
Rush,2012,271911,1,0,,largest
Rim,2013,257314,11,0,,largest
Zaca,2007,240207,1,0,,largest
Carr,2018,229651,1614,8,vehicle,deadliest;destructive;largest
Monument,2021,223124,3,0,,largest
Caldor,2021,221835,1003,1,bullet,destructive;largest
Matilija,1932,220000,0,0,,largest
River Complex,2021,199359,0,0,,largest
Witch,2007,197990,1650,2,power lines,destructive;largest
Camp,2018,153336,18804,85,power lines,deadliest;destructive
Iron Alps Complex,2008,105855,10,10,lightning,deadliest
Woolsey,2018,96949,1643,3,electrical,destructive
Old,2003,91281,1003,6,arson,deadliest;destructive
Harris,2007,90440,548,8,undetermined,deadliest
CZU Lightning Complex,2020,86509,1490,1,lightning,destructive
Valley,2015,76067,1955,4,electrical,destructive
Glass,2020,67484,1520,0,undetermined,destructive
Nuns,2017,54382,1355,3,power line,destructive
Atlas,2017,51624,781,6,power lines,deadliest
Inaja,1956,43904,0,11,human-related,deadliest
Tubbs,2017,36807,5643,22,electrical,deadliest;destructive
Redwood Valley,2017,36523,544,9,power lines,deadliest
Jones,1999,26200,954,1,undetermined,destructive
Palisades,2025,23707,6837,12,powerline,destructive;deadliest
Canyon,1968,22197,0,8,unknown,deadliest
Eaton,2025,14021,9418,19,,deadliest;destructive
Hauser Creek,1943,13145,0,11,human-related,deadliest
Loop,1966,2028,0,12,unknown,deadliest
Tunnel,1991,1600,2900,25,,deadliest;destructive
Rattlesnake,1953,1340,0,15,arson,deadliest
Griffith Park,1933,47,0,29,unknown,deadliest
