rank,region,zip,exposure_2024,exposure_2021,change_2021_2024
1,Truckee,96161,7704666877,2819624264,4885042613
2,Lake Arrowhead,92352,6207816029,4043433951,2164382078
3,Placerville,95667,5640102982,2938255456,2701847526
4,Beverly Hills,90210,4867977067,2729160871,2138816196
5,Malibu,90265,4554811303,2395242275,2159569028
6,South Lake Tahoe,96150,4382797628,1893802460,2488995168
7,Grass Valley,95949,3892084354,2312693121,1579391233
8,Nevada City,95959,3870206630,2068233273,1801973357
9,Big Bear Lake,92315,3819468885,2069932955,1749535930
10,Hidden Hills,91302,3695830461,1125313751,2570516710
11,Trabuco Canyon,92679,3581678001,1032456684,2549221317
12,Sonora,95370,3574855668,2020586078,1554269590
13,Los Angeles (Brentwood),90049,3528404095,1368130870,2160273225
14,Arnold,95223,3489553244,2177905618,1311647626
15,Los Angeles (Bel Air),90077,3471497221,1949509589,1521987632
16,Fallbrook,92028,3002456225,483021651,2519434574
17,Big Bear City,92314,2997638508,1516168262,1481470246
18,Pacific Palisades,90272,2951355275,796005892,2155349383
19,LA (Hollywood Hills),90046,2907663239,1863590425,1044072814
20,Ramona,92065,2886151702,1089357602,1796794100
