county,nonrenew_total,in_force,nonrenew_rate,one_in_x
Tuolumne,2547,14051,0.1813,6.0
Nevada,5521,32115,0.1719,6.0
Lake,3358,23250,0.1444,7.0
Calaveras,2481,17298,0.1434,7.0
Plumas,1137,7930,0.1434,7.0
Butte,8014,58943,0.136,7.0
Shasta,8501,63939,0.133,8.0
Amador,1566,11852,0.1321,8.0
Lassen,1336,10719,0.1246,8.0
Trinity,485,3946,0.1229,8.0
Alpine,63,523,0.1205,8.0
El Dorado,7465,62105,0.1202,8.0
Sierra,144,1219,0.1181,8.0
Tehama,1877,16343,0.1149,9.0
Riverside,75048,681434,0.1101,9.0
San Bernardino,57513,535924,0.1073,9.0
Mariposa,403,3800,0.1061,9.0
Kern,23831,239167,0.0996,10.0
Yuba,2221,22428,0.099,10.0
Mendocino,2507,25621,0.0978,10.0
Siskiyou,1465,15914,0.0921,11.0
San Joaquin,18785,209414,0.0897,11.0
Modoc,240,2682,0.0895,11.0
Mono,411,4621,0.0889,11.0
San Diego,62684,716033,0.0875,11.0
Fresno,20662,239264,0.0864,12.0
Kings,2890,33482,0.0863,12.0
Placer,12334,142997,0.0863,12.0
Madera,3362,39211,0.0857,12.0
Los Angeles,155794,1844780,0.0845,12.0
Sacramento,37630,445204,0.0845,12.0
Tulare,9613,115326,0.0834,12.0
Del Norte,630,7572,0.0832,12.0
Stanislaus,12224,147815,0.0827,12.0
Imperial,2831,34499,0.0821,12.0
Orange,53948,661262,0.0816,12.0
Ventura,16899,208912,0.0809,12.0
Merced,5505,68934,0.0799,13.0
Sutter,2067,26086,0.0792,13.0
Humboldt,3244,41549,0.0781,13.0
Santa Barbara,7668,99466,0.0771,13.0
Glenn,551,7164,0.0769,13.0
Napa,3020,39792,0.0759,13.0
Inyo,478,6330,0.0755,13.0
San Luis Obispo,7107,95030,0.0748,13.0
Solano,9823,131970,0.0744,13.0
Contra Costa,23534,318457,0.0739,14.0
San Benito,1278,17421,0.0734,14.0
Sonoma,11140,152579,0.073,14.0
Alameda,26699,369996,0.0722,14.0
Yolo,3917,54601,0.0717,14.0
Santa Clara,29221,409551,0.0713,14.0
Santa Cruz,5197,74589,0.0697,14.0
Colusa,367,5294,0.0693,14.0
Monterey,6340,91688,0.0691,14.0
San Mateo,10992,173138,0.0635,16.0
Marin,4261,71389,0.0597,17.0
San Francisco,7631,132448,0.0576,17.0
