fiscal_year,amount,amount_millions,type,distribution_millions,assessment_millions
1989,19210454,19.21,Distribution,19.21,0.0
1990,10384356,10.38,Distribution,10.38,0.0
1991,18993576,18.99,Distribution,18.99,0.0
1992,0,0.0,,0.0,0.0
1993,-150000000,-150.0,Assessment,0.0,-150.0
1994,-60000000,-60.0,Assessment,0.0,-60.0
1995,-50000000,-50.0,Assessment,0.0,-50.0
1996,0,0.0,,0.0,0.0
1997,0,0.0,,0.0,0.0
1998,0,0.0,,0.0,0.0
1999,0,0.0,,0.0,0.0
2000,0,0.0,,0.0,0.0
2001,27300677,27.3,Distribution,27.3,0.0
2002,23427569,23.43,Distribution,23.43,0.0
2003,11091040,11.09,Distribution,11.09,0.0
2004,14818758,14.82,Distribution,14.82,0.0
2005,13634878,13.63,Distribution,13.63,0.0
2006,35512797,35.51,Distribution,35.51,0.0
2007,0,0.0,,0.0,0.0
2008,0,0.0,,0.0,0.0
2009,0,0.0,,0.0,0.0
2010,0,0.0,,0.0,0.0
2011,0,0.0,,0.0,0.0
2012,0,0.0,,0.0,0.0
2013,0,0.0,,0.0,0.0
2014,0,0.0,,0.0,0.0
2015,44710440,44.71,Distribution,44.71,0.0
2016,25286015,25.29,Distribution,25.29,0.0
2017,30978814,30.98,Distribution,30.98,0.0
2018,0,0.0,,0.0,0.0
2019,0,0.0,,0.0,0.0
2020,0,0.0,,0.0,0.0
2021,0,0.0,,0.0,0.0
2022,0,0.0,,0.0,0.0
2023,0,0.0,,0.0,0.0
2024,0,0.0,,0.0,0.0
2025,-1000000000,-1000.0,Assessment,0.0,-1000.0
