naic,company,group,rate_2024,rate_2025,rate_2026,pct_2025,implied_2025_assessment_millions
25151,State Farm Gen Ins Co,State Farm,0.1679738,0.181834,0.1913643,18.18,181.8
15539,CSAA Ins Exch,CSAA (AAA NorCal),0.0658296,0.0621505,0.0626113,6.22,62.2
38342,California Automobile Ins Co,Mercury,0.0499506,0.0583065,0.062309,5.83,58.3
15598,Interins Exch Auto Club,Auto Club SoCal,0.0502307,0.0546834,0.0527656,5.47,54.7
21660,Fire Ins Exch,Farmers,0.0431227,0.0542506,0.064521,5.43,54.3
21652,Farmers Ins Exch,Farmers,0.0232096,0.0423257,0.0514693,4.23,42.3
19232,Allstate Ins Co,Allstate,0.038143,0.0351074,0.0317705,3.51,35.1
23787,Nationwide Mut Ins Co,Nationwide,0.0254788,0.0263936,0.0205015,2.64,26.4
25941,United Serv Automobile Assn,USAA,0.0236696,0.0249577,0.0254534,2.5,25.0
24740,Safeco Ins Co Of Amer,Liberty Mutual,0.0230018,0.0230677,0.0186582,2.31,23.1
24732,General Ins Co Of Amer,Liberty Mutual,0.0227594,0.0217976,0.019692,2.18,21.8
25968,USAA Cas Ins Co,USAA,0.0211432,0.0217133,0.0200134,2.17,21.7
21687,Mid Century Ins Co,Farmers,0.0168873,0.0203162,0.0182784,2.03,20.3
11185,Foremost Ins Co Grand Rapids,Farmers,0.0185687,0.0197611,0.0184998,1.98,19.8
42404,Liberty Ins Corp,Liberty Mutual,0.0208221,0.01948,0.0149363,1.95,19.5
37850,Pacific Specialty Ins Co,Pacific Spec,0.0178391,0.0188822,0.0143408,1.89,18.9
21482,Factory Mut Ins Co,FM Global,0.0152697,0.0178596,0.0122175,1.79,17.9
25798,Sutton National Ins Co,Sutton,0.0044113,0.014583,0.0270267,1.46,14.6
13927,Homesite Ins Co Of The Midwest,Amer Family,0.007029,0.00982,0.0136113,0.98,9.8
16535,Zurich Amer Ins Co,Zurich,0.0123348,0.0051236,0.0043158,0.51,5.1
