county,median_income,fair_penetration,fair_exposure_millions,wildfire_risk_score,sovi_pctl
Los Angeles,95412.0,0.0491,69297.4,99.93638676844785,59.48275862
San Bernardino,88010.0,0.0779,26678.0,99.90458015267176,34.48275862
San Diego,110849.0,0.0322,21577.9,100.0,13.79310345
Nevada,90018.0,0.3856,16522.3,99.42748091603052,48.27586207
El Dorado,112986.0,0.2518,15776.2,99.71374045801528,13.79310345
Placer,120553.0,0.0844,12753.1,98.69592875318068,13.79310345
Riverside,94578.0,0.027,12588.0,99.96819338422392,34.48275862
Tuolumne,73487.0,0.4967,7985.9,99.33206106870227,59.48275862
Orange,121499.0,0.0101,7651.4,99.80916030534353,13.79310345
Calaveras,79537.0,0.3604,6320.3,99.45928753180662,69.82758621
Ventura,114827.0,0.022,5450.6,99.77735368956743,28.44827586
Santa Barbara,104782.0,0.0332,5424.9,99.20483460559797,69.82758621
Sonoma,107497.0,0.0257,4532.7,98.21882951653944,28.44827586
Santa Cruz,114087.0,0.0579,4370.9,97.32824427480917,13.79310345
Monterey,100248.0,0.034,3903.6,98.66412213740456,59.48275862
Butte,73925.0,0.1016,3899.5,98.53689567430024,69.82758621
Alameda,136326.0,0.0095,3824.7,97.70992366412212,13.79310345
Amador,82952.0,0.3103,3375.3,98.1234096692112,48.27586207
Napa,111773.0,0.0431,2623.3,95.96055979643766,43.10344828
Fresno,77498.0,0.016,2584.9,98.441475826972,69.82758621
Kern,74139.0,0.0248,2581.9,99.74554707379136,69.82758621
Contra Costa,136749.0,0.0065,2545.9,97.5826972010178,13.79310345
Madera,77486.0,0.0912,2517.6,99.36386768447836,90.51724138
Santa Clara,166618.0,0.0046,2459.5,97.39185750636132,13.79310345
Shasta,74499.0,0.064,2364.8,99.49109414758269,43.10344828
Marin,153516.0,0.0234,2160.9,94.56106870229009,13.79310345
Lake,64392.0,0.1385,2135.9,99.10941475826972,83.62068966
Mendocino,67690.0,0.099,2022.4,97.8053435114504,87.93103448
San Luis Obispo,95720.0,0.0191,1652.2,98.31424936386767,34.48275862
San Mateo,167134.0,0.0071,1612.9,92.01653944020356,13.79310345
Mariposa,64164.0,0.4196,1582.1,99.01399491094148,100.0
Plumas,70271.0,0.2113,1384.9,98.6323155216285,98.27586207
Lassen,71235.0,0.1179,951.4,97.48727735368956,83.62068966
Tulare,71279.0,0.0168,932.6,97.9643765903308,69.82758621
Humboldt,63282.0,0.0368,896.7,95.51526717557252,86.20689655
Mono,90664.0,0.1634,768.9,91.15776081424936,13.79310345
Siskiyou,58094.0,0.0801,732.5,98.60050890585242,90.51724138
Yuba,75964.0,0.0546,702.7,96.81933842239184,34.48275862
Trinity,57721.0,0.2207,533.7,98.50508905852416,93.10344828
San Francisco,148375.0,0.0029,442.6,28.65776081424936,51.72413793
Solano,104287.0,0.0024,307.3,94.49745547073792,13.79310345
Tehama,65137.0,0.0382,305.3,98.47328244274809,55.17241379
Stanislaus,82401.0,0.0029,264.7,95.03816793893128,34.48275862
Sacramento,93829.0,0.0011,260.3,95.92875318066156,39.65517241
Sierra,60000.0,0.2498,249.0,95.57888040712469,77.5862069
San Joaquin,95013.0,0.0024,197.6,91.98473282442748,43.10344828
San Benito,110473.0,0.0084,144.5,95.41984732824427,13.79310345
Del Norte,69932.0,0.0291,100.1,85.65521628498728,59.48275862
Imperial,66025.0,0.008,92.0,76.04961832061069,96.55172414
Yolo,95200.0,0.0023,85.3,86.95928753180662,13.79310345
Inyo,74327.0,0.013,62.1,83.68320610687023,94.82758621
Merced,67755.0,0.0014,59.3,92.17557251908396,69.82758621
Modoc,55413.0,0.0302,42.1,92.93893129770991,81.03448276
Colusa,72642.0,0.0075,25.3,89.09033078880407,53.44827586
Kings,72057.0,0.0016,24.4,77.09923664122137,79.31034483
Glenn,72261.0,0.0039,19.1,91.76208651399492,13.79310345
Sutter,79038.0,0.0007,13.6,77.13104325699746,69.82758621
